#<METADATA>Ln prior of deletion of length 10=-20.72326583694641
#<METADATA>Ln prior of deletion of length 9=-20.72326583694641
#<METADATA>Ln prior of deletion of length 8=-20.72326583694641
#<METADATA>Ln prior of deletion of length 7=-20.72326583694641
#<METADATA>Ln prior of deletion of length 6=-20.72326583694641
#<METADATA>Ln prior of deletion of length 5=-10.87529389412208
#<METADATA>Ln prior of deletion of length 4=-9.763090496477812
#<METADATA>Ln prior of deletion of length 3=-11.300720509602801
#<METADATA>Ln prior of deletion of length 2=-10.792274705816093
#<METADATA>Ln prior of deletion of length 1=-9.885272248065391
#<METADATA>Ln prior of SNV=-3.9462921501487105
#<METADATA>Ln prior of insertion of length 1=-9.17993126545708
#<METADATA>Ln prior of insertion of length 2=-20.72326583694641
#<METADATA>Ln prior of insertion of length 3=-9.65591955135948
#<METADATA>Ln prior of insertion of length 4=-10.725247322827485
#<METADATA>Ln prior of insertion of length 5=-11.276382965412342
#<METADATA>Ln prior of insertion of length 6=-20.72326583694641
#<METADATA>Ln prior of insertion of length 7=-20.72326583694641
#<METADATA>Ln prior of insertion of length 8=-20.72326583694641
#<METADATA>Ln prior of insertion of length 9=-20.72326583694641
#<METADATA>Ln prior of insertion of length 10=-20.72326583694641
#<METADATA>Background beta-binomial cluster=weight = 0.2930, alpha = 4.84, beta = 5.06
#<METADATA>High-AF beta-binomial cluster=weight = 0.0199, alpha = 10.01, beta = 0.71
#<METADATA>Binomial cluster=weight = 0.6870, mean = 0.990
#<METADATA>threshold=0.517
#<METADATA>fdr=0.049
#<METADATA>sensitivity=0.963
filter	FP	FDR	FN	FNR
weak_evidence	59.11	0.04	2.66	0.0
strand_bias	0.0	0.0	0.0	0.0
slippage	0.55	0.0	0.89	0.0
haplotype	0.38	0.0	1.49	0.0
germline	20.43	0.01	53.94	0.03
